k,lambda,rmse
5.0,0.0,0.8374233245849609
5.0,0.01,0.8374171257019043
5.0,0.02,0.8364413976669312
5.0,0.03,0.8366934061050415
5.0,0.04,0.8365103006362915
5.0,0.05,0.8363907933235168
5.0,0.07,0.8370050191879272
5.0,0.1,0.8368943929672241
5.0,0.15,0.836550235748291
5.0,0.2,0.838046133518219
5.0,0.4,0.83757483959198
10.0,0.0,0.8137659430503845
10.0,0.01,0.813762903213501
10.0,0.02,0.8132063746452332
10.0,0.03,0.8117896914482117
10.0,0.04,0.8125364184379578
10.0,0.05,0.812727689743042
10.0,0.07,0.8132267594337463
10.0,0.1,0.8120030760765076
10.0,0.15,0.8118991851806641
10.0,0.2,0.8122283220291138
10.0,0.4,0.8126973509788513
25.0,0.0,0.7998448610305786
25.0,0.01,0.7995787858963013
25.0,0.02,0.7993960380554199
25.0,0.03,0.7999563217163086
25.0,0.04,0.8004156351089478
25.0,0.05,0.799214780330658
25.0,0.07,0.7998568415641785
25.0,0.1,0.7995033860206604
25.0,0.15,0.7998498678207397
25.0,0.2,0.7994587421417236
25.0,0.4,0.7992836236953735
30.0,0.0,0.7981282472610474
30.0,0.01,0.79808109998703
30.0,0.02,0.7982922792434692
30.0,0.03,0.7979953289031982
30.0,0.04,0.7984583377838135
30.0,0.05,0.798037588596344
30.0,0.07,0.7978691458702087
30.0,0.1,0.7983245253562927
30.0,0.15,0.7976489663124084
30.0,0.2,0.7981371283531189
30.0,0.4,0.7980024814605713
50.0,0.0,0.795320987701416
50.0,0.01,0.7952786087989807
50.0,0.02,0.7949464321136475
50.0,0.03,0.7953220009803772
50.0,0.04,0.7950679063796997
50.0,0.05,0.7951540350914001
50.0,0.07,0.794943630695343
50.0,0.1,0.7952296733856201
50.0,0.15,0.7952377200126648
50.0,0.2,0.7950491309165955
50.0,0.4,0.7951288223266602
100.0,0.0,0.7926515340805054
100.0,0.01,0.7924158573150635
100.0,0.02,0.7925152778625488
100.0,0.03,0.792523980140686
100.0,0.04,0.7923365235328674
100.0,0.05,0.7926703691482544
100.0,0.07,0.7924655079841614
100.0,0.1,0.7924990653991699
100.0,0.15,0.7923928499221802
100.0,0.2,0.792295515537262
100.0,0.4,0.7924156785011292
